rows,sequential_ms,random_ms
10000,7.98,17.00
20000,8.33,19.90
30000,8.91,39.68
40000,8.47,26.90
50000,8.80,67.48
60000,8.32,60.00
70000,9.75,122.35
80000,8.56,134.44
90000,8.54,145.28
100000,8.91,162.04
110000,8.47,176.04
120000,8.72,204.17
130000,8.55,201.45
140000,8.09,207.62
150000,8.52,236.81
160000,39.14,279.43
170000,10.13,248.06
180000,8.22,256.23
190000,8.29,267.62
200000,8.26,280.25
210000,8.25,308.14
220000,8.49,302.78
230000,8.28,324.42
240000,8.18,307.48
250000,9.06,330.70
260000,8.34,330.92
270000,8.28,334.40
280000,9.07,353.05
290000,8.61,352.24
300000,8.11,370.90
310000,9.04,378.30
320000,25.36,382.20
330000,9.07,383.81
340000,8.15,382.43
350000,8.43,393.07
360000,8.36,388.11
370000,8.35,442.05
380000,9.48,411.79
390000,8.15,430.87
400000,8.81,436.90
410000,8.44,455.29
420000,8.26,462.15
430000,12.31,466.39
440000,9.75,467.07
450000,8.57,478.22
460000,8.18,515.38
470000,8.09,474.35
480000,30.23,489.73
490000,9.29,480.85
500000,8.24,501.95
